timestamp,temp_ar_C,umid_ar_pct,umid_solo_pct,chuva_24h_mm,bomba_ligada,bloqueado,modo,alarme,estado_json
2026-05-26 06:00:00,23.1,68.0,54.8,0.0,0,0,AUTO,OK,"{""modo"":""AUTO"",""bomba"":false,""hora"":6,""bloqueado"":false,""chuva_mm"":0.0,""umid_solo"":54.8}"
2026-05-26 06:00:02,23.1,67.8,54.5,0.0,0,0,AUTO,OK,"{""modo"":""AUTO"",""bomba"":false,""hora"":6,""bloqueado"":false,""chuva_mm"":0.0,""umid_solo"":54.5}"
2026-05-26 06:00:04,23.3,67.8,54.3,0.0,0,0,AUTO,OK,"{""modo"":""AUTO"",""bomba"":false,""hora"":6,""bloqueado"":false,""chuva_mm"":0.0,""umid_solo"":54.3}"
2026-05-26 06:00:06,23.2,67.8,54.0,0.0,0,0,AUTO,OK,"{""modo"":""AUTO"",""bomba"":false,""hora"":6,""bloqueado"":false,""chuva_mm"":0.0,""umid_solo"":54.0}"
2026-05-26 06:00:08,23.1,67.7,53.7,0.0,0,0,AUTO,OK,"{""modo"":""AUTO"",""bomba"":false,""hora"":6,""bloqueado"":false,""chuva_mm"":0.0,""umid_solo"":53.7}"
2026-05-26 06:00:10,23.2,67.7,53.5,0.0,0,0,AUTO,OK,"{""modo"":""AUTO"",""bomba"":false,""hora"":6,""bloqueado"":false,""chuva_mm"":0.0,""umid_solo"":53.5}"
2026-05-26 06:00:12,23.4,67.7,53.1,0.0,0,0,AUTO,OK,"{""modo"":""AUTO"",""bomba"":false,""hora"":6,""bloqueado"":false,""chuva_mm"":0.0,""umid_solo"":53.1}"
2026-05-26 06:00:14,23.6,67.6,53.0,0.0,0,0,AUTO,OK,"{""modo"":""AUTO"",""bomba"":false,""hora"":6,""bloqueado"":false,""chuva_mm"":0.0,""umid_solo"":53.0}"
2026-05-26 06:00:16,23.8,67.6,52.8,0.0,0,0,AUTO,OK,"{""modo"":""AUTO"",""bomba"":false,""hora"":6,""bloqueado"":false,""chuva_mm"":0.0,""umid_solo"":52.8}"
2026-05-26 06:00:18,23.7,67.4,52.6,0.0,0,0,AUTO,OK,"{""modo"":""AUTO"",""bomba"":false,""hora"":6,""bloqueado"":false,""chuva_mm"":0.0,""umid_solo"":52.6}"
